project_name,project_sector
"Exploration of Lead, Zinc, Copper and Silver (27538EL) at Ezza - South LGA",Mining
Exploration of Lead and Zinc (28068EL) at Abakaliki LGA,Mining
Exploration of Lead and Zinc (28067EL) at Ikwo LGA,Mining
Geospatial Intelligence Training Workshop,Others
Mining Project for Gold Exploration in Jos,Mining
Solar Hybrid Mini-Grid Site at Tagagi Village in Agaie LGA,Renewable Energy
"50MW Multi- Fuel Captive Power Generation Plant in Iluhagba Community, Ijumu LGA",Power
"Cement Production Plant  and Limestone Mining Activities (2804EL) at Iluhagba Community, Ijumu LGA",Manufacturing
 Solar Hybrid Mini Grid Project (3)Site  at Ifo LGA,Renewable Energy
Yobe State Integrated Shelter Belt Program (YSSBP),Others
Solar Mini-Grid at Gbako and Mashegu LGAs,Renewable Energy
Internet Service (EA Department),Others
Small Scale Sand Dredging,Mining
Ata Field Development Program (AFDP) in OML 68 Offshore ,Oil & Gas
Solar Mini Grid Power Project at Esinele Community Oriire LGA,Renewable Energy
"Exploration for Gold, Lead and Zinc( 28635EL) in Kontagora LGA",Mining
"Expansion of Sugar Manufacturing Project at Lafiagi - Puta Road Lafiagi, Edu LGA",Manufacturing
Flare Gas Commercialization Project Ahoada,Oil & Gas
ESCP and SEP for National Social Safety-Nets Program Scale-up (NASSP-SU),Others
Integrated Energy and Waste Management Facility at Iboro  Akama and Ikot Inuen  in Ikot Abas and Oruk  Anam LGAs,Waste Management
Ekiti Special Agro - Industrial Processing Zone ( SAPZ) at Ikole and Oye LGAs,Agriculture
Seven up Bottling Co.LTD Abuja Plant Expansion,Manufacturing
Topline 25MMSCFD Mini Liquefied Natural Gas (LNG) Facility in Shagamu LGA,Oil & Gas
"Development of 100kWp Solar Mini-Grid at Malori Community, Fika LGA",Renewable Energy
Quarry Operation Project (23979QL) in Etsako West LGA,Mining
"Power Facility Upgrade in 231 IHS BTS Sites in Lagos, Ogun and Oyo States",Telecommunications
"Quality Bus Corridor (QBC) Package 1 (Ketu-Alapere, Anthony-Oshodi, Onipanu-Oshodi, Ojuelegba-Idiaraba, Yaba-Lawanson-Cele)",Infrastructure
"40KW Solar Mini-Grid at Rafinzurfi Community, Gwagwalada",Renewable Energy
"Sacks Manufacturing Plant at Dankande Industrial Layout, Igabi LGA",Manufacturing
"123KM Gas Pipeline from Oguali Field in OML 157 through KPL IPS Beneku, Odum FZE GPP and Terminates at NGC IPS Umukwata",Oil & Gas
Bitumen Exploration and Mining in Odogbolu LGA ,Mining
"Real Estate ""Universal One"" at Alaro City, Ibeju - Lekki LGA",Infrastructure
"Construction of Terminal at Denton Street Oyingbo, Ebuta-Metta, Mainland LGA",Infrastructure
Mining and Exploration of Gold Deposit in Ifetedo LGA,Mining
"Manufacturing of Pharmaceutical Formulations (Liquid, Tablet, Capsule, Powder) in Ado-Odo/Ota LGA",Manufacturing
Flowergate Golden Morn Filling Room at Obafemi Owode LGA,Infrastructure
Demarcation of the Unutilized Portion of Land within VON transmitting Station at Lugbe Abuja,Infrastructure
"Marina & Mile 2 Interchanges, Under CNG 1053 - Lagos Strategic Transport Master Plan Project at Lagos Island and Ifelodun LCDA, Iru/Victoria Island and Amuwo-Odofin LGAs",Infrastructure
"Development of 80kWp Solar Mini-Grid in Esinele Community, Oriire LGA",Renewable Energy
Lead Lithium Mining Operation at Buruku LGA,Mining
Flare Gas Commercialization Project in Ahoada West LGA,Oil & Gas
Gold Exploration Project (28775EL) in Fakai LGA,Mining
Tourmaline Exploration (24520 SSML & 24625 SSML) at Atisbo LGA,Mining
Six (6) Mini-Grid Sites in Idanre LGA,Renewable Energy
Tin and Columbite Small Scale Mining Activities at Ningi LGA ,Mining
Beryl (Gemstones) Small Scale Mining Activities at Karu LGA ,Mining
"Quality Bus Corridor Package 3 Iyana Iba-Igando, Under CNG 1053 - Lagos Strategic Transport Master Plan Project (LSTMPP 1)",Infrastructure
"Quality Bus Corridor Package 2 (Iju ishaga - Abule Egba, Iyana Ipaja - Ayobo) Under CNG 1053 - Lagos Strategic Transport Master Plan Project (LSTMPP 1)",Infrastructure
"Construction of 10Km Amaihe Community School, Uyim Road in Elu, Ohafia",Infrastructure
Feldspar and Beryl Gemstone Exploration and Mining (28205 EL) in Ibarapa LGA,Mining
Beryl and Tourmaline Gemstone Exploration / Mining in Imeko/Afon LGA,Mining
Solar Mini-Grid Projects in Ankpa and Olamaboro LGAs,Renewable Energy
Correspondence with Telecommunication and Technology Sustainability Working Group (TTSWG),Others
Correspondence with Non-Governmental Organization (NGO),Others
"1MWp Solar Power Hybrid Mini-Grid at Zawagki, Kombotso LGA",Renewable Energy
River Sand Dredging Project (23823QL) at Eti-Osa LGA,Mining
Solar Mini-Grid Connection at off-grid Communities in Itas Gadau and Ningi LGAs,Renewable Energy
Development of Renewable Energy Solution (Solar Mini-Grid) in Idanre and Odigbo LGAs,Renewable Energy
Mining of Kaolin at Pategi LGA,Mining
60kWp Isolated Solar Mini-Grid at Ikom LGA,Renewable Energy
"Solar MinI-Grid development across Nine (9) Communities in Omala, Dekina, Ankpa and Ofu LGAs",Renewable Energy
"Agro-Processing, Productivity Enhancement and Livelihood Improvement Support (APPEALS) Project ",Agriculture
"Agro-Processing, Productivity Enhancement and Livelihood Improvement Support (APPEALS) Project ",Agriculture
"Agro-Processing, Productivity Enhancement and Livelihood Improvement Support (APPEALS) Project",Agriculture
"Agro-Processing, Productivity Enhancement and Livelihood Improvement Support (APPEALS) Project ",Agriculture
"Agro-Processing, Productivity Enhancement and Livelihood Improvement Support (APPEALS) Project ",Agriculture
"Agro-Processing, Productivity Enhancement and Livelihood Improvement Support (APPEALS) Project ",Agriculture
Solar Mini-Grid Project in Karu LGA,Renewable Energy
Field Development Plan and Flowstation Upgrade at Oredo and Warri North LGAs,Oil & Gas
Integrated Building Construction Project at Eti-Osa LGA,Infrastructure
Construction of Federal Secretariats ,Infrastructure
Gold Exploration (35568EL) in Akoko-Edo LGA,Mining
Greater Lagos 5 (GL5) Natural Gas Distribution Network Development Project from Mile 2 Junction to Lagos State University Junction,Oil & Gas
"Deepening of the Lagos Harbour Entrance and Commodore Channel in Ajeromi-Ifelodun, Apapa, Amuwo-Odofin and Eti-Osa LGAs",Infrastructure
"Provision of Infrastructures at Old Airport / Tambari Bye-Pass Road, Old Airport GRA Bauchi",Infrastructure
"National Information Communication Technology Infrastructure Backbone (Base Tranceiver Stations) Sites across Three (3) States (Enugu, Imo & Rivers) and the FCT",Telecommunications
Green Molecules Compressed Natural Gas (CNG) Plant Project at Ajaokuta LGA,Oil & Gas
Tiles Production Project in Ado-Odo/Otta LGA,Manufacturing
Battery Recycling Plant at Ado-Odo / Otta LGA,Manufacturing
Paper Recycling Plant at Ado-Odo / Otta LGA,Manufacturing
4th Line Cement Production Expansion and 70MW Gas Fired Power Plant Project at Wamakko LGA,Manufacturing
Onne Multipurpose Terminal at Eleme LGA,Infrastructure
"Prefab Houses and Allied Products Manufacturing Facility at Igbogbo-Baiyeku LCDA, Ikorodu LGA",Manufacturing
"Cassava Ethanol Plant at Km 18, Makurdi-Gboko Road, Bezu-Village, Tyomu, Makurdi LGA",Manufacturing
"Infrastructure for Bakusa District, Phase IV of Federal Capital City (FCC), AMAC",Infrastructure
2Africa Subsea Fibre Optic Telecommunications Cable System at Eti-Osa LGA,Telecommunications
"Solar Mini-Grid in Sixteen Communities at Irele, Ondo East, Ilaje , Okitipupa, Odigbo and Ese-Odo LGAs",Renewable Energy
Gold Ore Exploration and Mining (29822EL) at Yagba West LGA,Mining
Palm Oil Mill Expansion at Akamkpa LGA,Agriculture
"Off Grid Rural Electrification in Olokoto Community,Orire-North LGA.",Renewable Energy
"Off Grid Rural Electrification in Bushiru Community,Baruten LGA.",Renewable Energy
Expansion of Cassava Flour Mill Factory in Ovia North- East LGA.,Manufacturing
"Basma Rice Mill in Gunduwawa Industrial Lyout, Gezawa LGA.",Agriculture
"Quail-Awaji-Igbanam Private Modular Refinery 30,000BPD/Quail Gogoay LPG Plant 6,000M and Quail Akpozougha Petroleum Products Deport in Ikpetim Ikot-Abasi LGA",Oil & Gas
Training under the Indian Technical and Economic Cooperation (ITEC),Others
IHS Phase V 194 BTS in Twenty-Five (25) States in Nigeria,Telecommunications
Mini - Grid Power Policy,Others
Solar Systems for Small Businesses and Households in 36 States and the FCT,Renewable Energy
Development of 100kwp Solar Mini - Grid in Loko Development Area of Nasarawa LGA.,Renewable Energy
Rivapare Bounded Terminal and Factory Complex in pare Igbokoda LGA,Manufacturing
Agro-Industrial Park at Markudi,Agriculture
"Correspondence with Federal Ministry of Humanitarian Affairs, Disaster Management and Social Development",Others
ATC Nigeria Phase 18 BTS (302 BTS in 31 States and the FCT),Telecommunications
"Corrugated Carton Boxes Manufacturing Plant in Lagos Free Zone, Ibeju-Lekki LGA",Manufacturing
Development of 100kwp Solar Mini-Grid in Sule Camp Ovia-North- East Local Government Area.,Renewable Energy
"Kudenda Brewery Upgrade/ Expansion in Kudenda By-Pass, Industrial Area, Nnamdi Azikwe Expressway, Chikun LGA",Manufacturing
Inland Container Deport Bauchi,Infrastructure
"Livestock Development Center in Jakusko/Nasari Grazing Reserve, Jakusko LGA",Agriculture
Three (3) Infrastructural Projects of the Ministry of Niger Delta Affairs in Cross River State (2021),Infrastructure
One (1) Infrastructural Project of the Ministry of Niger Delta Affairs in Akwa Ibom State (2021),Infrastructure
Three (3) Infrastructural Projects of the Ministry of Niger Delta Affairs in Abia State (2021),Infrastructure
Construction of 17km Gas Pipeline from Aseomoku Jetty to Beneku Flowstation and 11km produced Water Pipeline from Aseomoku through Akubo to Anieze South in OML 143 in Ndokwa East LGA,Oil & Gas
"Phase 3: Energising Education Programme at Modibbo Adama University of Technology, Yola",Renewable Energy
"Eco-Industrial Park Project in Ibeshe, Amuwo-Odofin LGA",Infrastructure
Kolocreek F-Sand Compression Project Across Two States(  Ogbia LGA and  Nembe LGA ) Bayesal and (Akoku-Toru LGA and Abua LGA) Rivers State,Oil & Gas
Gold Ore Exploration and Mining (28867EL) at Yagba West LGA,Mining
"Construction of a Berthing Jetty and Container Stacking Bay, 3 Vanguard Avenue, Kirikiri Apapa LGA",Infrastructure
"Milo and Golden Morn Expansion in Flowergate Industrial Estate, Sagamu-Abeokuta Interchange, Obafemi-Owode LGA",Manufacturing
10000 Hectares Tiamin Rice Irrigation Scheme in Udubo Gamawa LGA,Agriculture
Expansion of 5KM Egbema to Obokofia Road from Etekwuru Junction (Phase 2) in Ohaji/Egbema LGA,Infrastructure
"Exploration for Gold ,Qurtz and Tin",Mining
"5,200Ha Oil Palm Plantation Development in Orhionmwon Local Government ",Agriculture
Correspondence with Nigeria Extractive Industries Transparency Initiative (NEITI),Others
"Cassava Cultivation and Processing for Bioethanol Project at Urhonigbe, Orhionwon LGA",Manufacturing
3rd National Urban Water Sector Reform Project (NUWSRP) III,Infrastructure
Marble Mining at Toto LGA (30388 SSML),Mining
"600 Racks Data Center at Elegbeji town, Sagamu LGA",Infrastructure
"African Standards on Eco-labelling, Sustainability and Resilient Systems (ARSO/TC61)",Others
"Mini-Grid Sites in Dekina, Omala and Ankpa LGAs",Renewable Energy
Beryl and Tourmaline Gemstone Exploration / Mining (29347 EL) at Iwajowa LGA,Mining
Beryl Gemstone Exploration/Mining (29348 EL) at Iwajowa LGA,Mining
"Land Reclamation of 420, 000 sqm at Akuku Toru LGA",Infrastructure
"Airstrip Reactivation and Upgrade at Egbe Community, Yagba West LGA",Infrastructure
Kwale Special Agro-Processing Zone ,Infrastructure
Highway Development & Management Initiative Steering Committee,Others
"Bitumen Exploration and Exploitation Processing Plant (29178EL) at Okitipupa, Okitipupa LGA ",Mining
"Bitumen Exploration and Exploitation Processing Plant  (29176EL) at Irele, Irele LGA",Mining
Bitumen Exploration and Exploitation Processing Plant ( 29179EL) in Ilaje LGA,Mining
"Instaliation of 100kw Solar Power Hybrid Mini-Grid in Budinga Community, Birnin Kudu LGA",Renewable Energy
"GTS-1  22km/36' Pipeline Re-routing  in Bonny Island, Bonny LGA",Oil & Gas
Small Scale Mining (24759) in Kankara LGA,Mining
"Gold Mining and Exploration Project in Jidna Community,  Kagarko LGA",Mining
"Oyo Independent Power Project , 11MW Hybrid Power Plant, Ibandan North LGA ",Power
"Waste Incinerator Facility in Ohia Agbada Elikpokwu-odu Rukpokwu Town, Obio/Akpor LGA",Waste Management
"Installation and Operation of a 30000 BPD Modular Refinery Plant in Koko, Warri North LGA.",Oil & Gas
Victoria Island Power Embedded Gas Pipeline Project in Eti-Osa LGA,Oil & Gas
"Tamiagbe Solar Mini-Grid (500kW), Burutu LGA",Renewable Energy
"SPFL Developers FZE Complex at Ikonta/Obianga, Eastern Obolo LGA",Others
"Renovation and Construction of Cottage Hospitals and Maternity Clinics in Mubi, Gombi, Song and Girei LGAs ",Infrastructure
"Construction of Block of Classrooms and Teacher's Offices in Guyuk, Numan, Yola South, Hong, Maiha and Mubi-North LGAs",Infrastructure
"Tin, Columbite, Tantalite, Gold and Marble ( 29322EL) Exploration Project in Kuje Area Council",Mining
"Crude Transfer/7km Barging Route Operations along River Niger ( Enyie Field, OML 143) Ogwu-Ikpele,  Ogbaru LGA",Oil & Gas
EIA General: In-house HSE Training Programme,Nil
"Tourmaline, Beryl Gemstone Exploration and Mining ( 24940SSML) in Jibia LGA",Mining
Sand Dredging and Mining (23341QL) in Ibeju Lekki,Mining
"50KWP Solar Mini-Grid in Eziama Mgbidi, Agwu LGA",Renewable Energy
"Helipad Construction in Iperindo, Atakunmosa East LGA ",Infrastructure
Gold Ore Exploration and Mining (25044SSML) in Talata Marafa LGA,Mining
Phase 3: Energising Education Programme at Federal University Lokoja,Power
Phase 3: Energising Education Programme at Federal University of Dutsen-Ma,Power
Phase 3: Energising Education Programme at University of Port Harcourt and University of Port Harcourt Teaching Hospital.  ,Power
Phase 3: Energising Education Programme at University of Uyo,Power
Phase 3: Energising Education Programme at  Federal University Lafia ,Power
"Phase 3: Energising Education Programme at  Federal University of Technology, Akure",Power
"Phase 3: Energising Education Programme(EEP) at  Federal University of Technology, Owerri",Power
"Quality Bus Corridor (QBC) Package 4 at Ile Iwe-Ile Epo ( Alimosho LGA), CMD road Ketu ( Ketu LGA) and Command - Abule Egba ( Alimosho LGA)",Infrastructure
"Mining/Exploration of Lead, Zinc and Copper Deposit ( 29287EL) in Warji LGA",Mining
IHS Phase VI (6) 460 BTS Sites in Thirty Five (35) States and the FCT,Telecommunications
ESMP & RAP for the Upgrade of 24.4km Danja-Bazanga-Nahuche Road with Spur from Bazanga to Kokami under Rural Access and Agricultural Marketing Project (RAAMP),Agriculture
Proposal for the Implementation of Digitized QHSE Management Solution for Environmental Assessment,Others
Construction of Rumuokwurushi/Elimgbu Flyover at Obio/Akpor LGA,Infrastructure
"52KM Ikere Ekiti - Ijesa Isu - Ilupeju Ekiti 132/33KV DC Transmission Line and Associated 2X60MVA/132KV Substations at Ikere, Ikole and Oye LGAs",Power
"PCR Aggregation Hub at Oniyanrin, Lekki Free Zone, Ibeju-Lekki LGA",Waste Management
"Paper Manufacturing at Utesi Community, Ikpoba-Okha LGA",Manufacturing
EIA General: Students' Attachment/Programmes,Others
"2000MT/Month Alloy Ingot Plant at Ota Industrial Estate, Ado/Odo - Ota LGA",Manufacturing
"Gold Ore Exploration and Mining (29352EL, 29353EL & 25231EL) at Bosso LGA",Mining
"4400MT/Month Rolling Mill Expansion at Ota Industrial Estate, Ado/Odo-Ota LGA",Manufacturing
"Plaster of Paris (Gypsum Powder) Production Plant at Port Harcourt Wharf, NPA",Manufacturing
"Flour Mill/Pasta Plant Expansion, Port Harcourt Wharf, NPA",Manufacturing
"Edible oil Processing Plant in  Odofin Oke Flowergate Industrial Zone, Abeokuta-Shagamu Expressway, Obafemi Owode LGA",Infrastructure
"Renovation and Construction of Cottage Hospital in Fufore, Shelleng, Lamurde, Numan and Ganye LGAs",Infrastructure
Asaba Waterfront City in Oshimili South LGA,Infrastructure
Gold Ore Exploration and Mining (35770EL) in Katcha LGA,Mining
"Beneficiation of Lead and Copper Ores in Plot CD, 168 Sector B Layout, Kuje District ",Mining
Inland Dry Port at Zawaciki Kumbotso LGA,Infrastructure
"Four (4) Off Grid Solar Hybrid Mini-Grid Site at Bakono, Aisa, Angewa and Aguba in Nasarawa LGA",Renewable Energy
Gold Exploration in Fakai LGA,Mining
"
Gold Exploration, Exploitation and Extraction (33571EL) in Kurmin-Gurmana  Shiroro LGA ",Mining
"Nigerian Oil and Gas Park Scheme (NOGAPS) in Ikwe Community, Onna  LGA ",Infrastructure
"Brass Fertilizer Gas Supply Project (Bubouwe-bou, Elepa, Seibou, NunRiver and Opugbene Fields Development Project) in Brass, Nembe, Ogbia and Southern Ijaw LGAs",Oil & Gas
OFF Grid Solar Hybrid Mini-Grid at Abaribara in Biase LGA,Renewable Energy
"Light Up Lagos Phase 1 Community Electricity Distribution Intervention Project in lsale Eko, Mushin, Surulere, Alimosho and Age LGAs",Power
Limestone Exploration/Mining (23552EL) in Egbado LGA,Mining
" Ceramic Manufacturing Plant and 
(15MW) Captive Coal Power Plant in Ndiuno Obinofia Ezeagu LGA",Manufacturing
Nigerian Oil and gas Parks Scheme (NOGAPS) in Orogun,Infrastructure
Construction of One Television Base Station in Lokoja,Infrastructure
Convention on International Trade in Endangered Species (CITES),Others
Correspondence with Forestry Department,Others
"Lagos Free Trade Zone Natural Gas Supply & Distribution at Lagos Free Trade Zone, Ibeju-Lekki LGA",Oil & Gas
"Rice Production at Jesse, Ethiope West LGA",Agriculture
Lead Acid Battery Smelting and Recycling Plant at Isheri Community in Ifo LGA,Infrastructure
Ekiti Knowledge Zone at Ado-Ekiti LGA,Infrastructure
"Satellite Broadband Network, Obasanjo Space Centre, Airport Road.",Infrastructure
"NASRDA Space Planetarium and Museum, Obasanjo Space Centre, Airport Road,",Infrastructure
"QUA Iboe Export Hub (QIEH) Site Clearing and Hub Infrastructure, Ibeno LGA",Infrastructure
Expansion of BUA Cement Plant( Phase 2) at Okpella.,Manufacturing
Gold Ore Exploration and Mining (29527EL) at Paikoro LGA,Mining
 Infrastructure Development on 75Ha of Orange Island (Phase 2) at Lekki  (Phase 1) ,Infrastructure
"Silver, Gold, Tantalite, Tin, Lead and Zinc Mining (29412EL) in Zurak Community, Wase LGA",Mining
Dolomite and limestone Quarry(23174QL) in Akoko Edo LGA,Mining
Rice Mill Processing plant in Bida LGA,Agriculture
91 Base Transceiver Station (BTS) Sites in 8 states and the FCT,Telecommunications
"Omofejo Marginal Field (OML 49) Revalidation, Abigborodo Community, Warri North LGA",Oil & Gas
Abuja Conservation Center in Guzape District FCT  ,Others
Rehabilitation of a 20km Dual Carriageway Linking Ifaki to Ado-Ekiti,Infrastructure
"Development, Construction and Installation of Power Generation/Distribution Network and Water Treatment Plant in Epe ",Infrastructure
"27km Onisha-Oba Nnewi 132kv DC Transmission Line in Onisha, Oba and Nnewi LGAs",Power
Exploration of Flourite (29806EL) in Tarau Village Tafawa-Balewa LGA,Mining
"Exploration for Tin, Tantalite and Columbite (29885EL) in Barkin Ladi LGA.",Mining
"Exploration for Quartz, Granite and Feldspar (36246QLS) in Tibo, Abeokuta North LGA",Mining
"Refined Soybean Oil, Palm Kernel Oil, Soybean Meal and Palm Kernel Meal at Omi Fatokun, along Lagos-Ibadan Expressway, Ibadan, Oluyole LGA",Agriculture
"Pulp and Paper Industry at Onigbon Village, Odogbolu LGA",Manufacturing
"Wheat Flour Mill at Abule-Osun, Ijegun, Amuwo-Odofin LGA",Manufacturing
"Seasame Processing Plant at Industrial Estate, Lagos-Ibadan Expressway, Sagamu Interchange, Sagamu LGA",Agriculture
"Azura-Edo Independent Power Project (Phase 2), Uhunmwonde LGA",Power
"Quartz, Granite and Feldspar Quarry (36226 QLS) at Babalegba Village, Abeokuta North LGA",Mining
"Granite Quarry (25010 QL) at Pai Village, Irewole LGA",Mining
Nigeria Agenda 2050 Matters,Others
"Mining/Exploration of Flouride and Dolomite at Bali, Lad LGA",Mining
"500 Hectares Oil and Gas Free Zones at Cawthorne Channel, Degema LGA",Infrastructure
Ona River Channelization and Construction of Dikes across Eleven (11) LGAs in Ibadan,Infrastructure
"Plant Upgrade, Agidingbi, Ikeja LGA",Manufacturing
"Integrated Farm and Food Processing Facility in Malete, Moro L.G.A",Agriculture
Development of 1MW Solar PV (Clean Energy) Mini-Grid Power System in Keffi LGA,Power
Oil and Gas Filling Station in Keffi LGA,Oil & Gas
Transmission Line Revalidation of 61km Abakaliki-Amasiri 132KV Double Circuit Transmission Line Project at Abakaliki LGA,Power
"Ivo Multipurpose Dam, Anniniri LGA",Infrastructure
"Exploration of Tantalite, Columbite, Tin and Zircon in Akwanga LGA",Mining
"Nigeria Police Forensic Research and Training Institute, Kwali Area Council ",Infrastructure
"Sesame Processing Plant, Industrial Estate, Lagos- Ibadan Expressway Sagamu Interchange, Sagamu LGA",Manufacturing
"Airstrip at Okoro Inyong, Eastern Obolo LGA",Infrastructure
"Mini Grid Development Project for Rural Electrification, Karu LGA",Renewable Energy
24215 SSML Gold Mining Project at Shanono LGA,Mining
Construction of a Berthing Barge Jetty and Container Stacking Bay at Amuwo-Odofin LGA,Infrastructure
25091 SSML Sand Lifting Project at Ugheli LGA,Mining
Rural Electrification (Solar Mini-Grid) at Soba LGA,Renewable Energy
Apani Field Development Plan (OML 53) at Etche and Ikwerre LGAs,Oil & Gas
Atamba Field Development Plan (OML 42) in Warri South-West LGA,Oil & Gas
Rural Telephony Base Transceiver Stations (Phase 1) 84 Sites in 24 States,Telecommunications
Igbomoturu North Field Development (OML 33) at Southern Ijaw LGA,Oil & Gas
Igbomoturu Main Field Development at Southern Ijaw LGA ,Oil & Gas
Construction of the Base Transceiver Station (BTS)  ,Telecommunications
Tantalite Ore Exploration and Mining (No: 29548EL) at Nasarawa-Eggon LGA,Mining
Gold Ore Exploration and Mining (No: 29532 EL) at Katcha LGA,Mining
Rice Processing Plant at Gezawa LGA,Agriculture
Rice and Sugar Cane Cultivation at Zaki LGA,Agriculture
Nigeria Sovereign Investment Authority Healthcare Strategy and Expansion Plans,Others
Soya Oil Processing Plant at Dawakin Kudu LGA,Manufacturing
"Limestone, Lead/Zinc, Gold, Iron Ore & Coal Exploration (29580EL) in Dekina LGA",Mining
"Power Transmission and Telecommunication Towers Manufacturing Plant at Issele Uku, Aniocha North LGA",Manufacturing
"Cratal Project at Alaro City, Epe LGA",Infrastructure
Opobo Shore Protection and Reclamation Project at Opobo/Nkoro LGA,Infrastructure
Nigeria National Plastic Action Partnership,Others
Reporting on the Implementation of Ministerial Mandates,Others
"Gold, Tin, Columbite, Lead and Zinc (27086 EL) Mining and Exploration  at Toro LGA",Mining
Re-routing of Effluent Discharge Pipeline at Udi LGA,Waste Management
Soku near Field Exploration Wells at Akuku-Toru LGA,Oil & Gas
Vegetable Oil Refinery / Processing Plant at Obafemi-Owode LGA,Manufacturing
Water Abstraction from Hadejia River at Zango Maje and Conveyance to GNA Sugarcane Plantation in Gagarawa LGA,Infrastructure
Sand Dredging and Mining (25527QL) at Ibeju-Lekki LGA,Mining
Lead/Zinc Ore Exploration and Mining at Kurumi LGA,Mining
Bin Yauri Gold Mining and Processing Plant at Ngaski LGA,Mining
Battery Recycling Plant Project at Ikorodu LGA,Manufacturing
Telecommunication and Technology Sustainability Working Group (TTSWG),Others
"International Cattle Market at Mubi town, Mubi LGA",Agriculture
Ethanol Distillation Plant at Ota LGA,Manufacturing
Mining/Exploration of Moganite and Copper (28360 EL) at Bayo LGA,Mining
"Zinc, Lead, Tin and Copper Mine Site (29904 EL) at Awe LGA",Mining
"Zinc, Lead, Tin and Copper Mine Site (29904 EL) at Baure Community, Awe LGA",Mining
Fibre Mattress Production Plant at Sagamu LGA,Manufacturing
Telecommunications Base Transceiver Stations (33 Base Stations),Telecommunications
Cross Border National/ International Committee,Others
Oredo-East Field in OML 111,Oil & Gas
Kano Economic  City 0.99MW Solar Power Plant at Dangwauro Kumbotso LGA,Power
"Shoreline Protection at Snake Island, Ibeshe",Infrastructure
Port Terminals / Containers and Bulk Goods at Degema LGA,Infrastructure
Agro-Processing Facility at Degema LGA,Infrastructure
,
"Gas Processing, LNG and Methanol Production at Degema LGA",Manufacturing
20 Tonne Waste Recycable Depot at Ethiope-West LGA,Waste Management
Nigerian Oil and Gas Parks Scheme (NOGAPS) Site at Ilaje LGA,Oil & Gas
"Construction and Operation of Petroleum Products Storage Facility at Isiodu, Emohua LGA",Oil & Gas
Oghama Field in Oredo OML 111,Oil & Gas
Construction of Rural Access Roads and Ancillary Facilities,Infrastructure
Gold Ore Exploration and Mining (37016 EL) at Magana and Rijau LGAs,Mining
Tourmaline Gemstone Exploration and Mining (29550 EL) at Kokona LGA,Mining
Auchi Regional Water Supply Scheme,Infrastructure
"Alternative Fuel/ Waste for the kiln Firing at Lafarge Mfamosing Plant, Akamkpa LGA ",Waste Management
Ibom Independent Electricity Distribution Network in 31 LGAs,Power
Nigeria -Africa Natural Resources & Energy Summit,Others
Construction of 12 BTS Sites in 6 States (Phase 2),Telecommunications
"Oil Palm Plantation and Processing at Ora Community, Owan, Owan West LGA",Agriculture
"15 Nautical Miles Transportation of Crude Oil from Agge location to Tulja Terminal, Burutu LGA",Oil & Gas
"Shemankar Independent Power Project (SIPP) at Randa River, Jing, Pankshin LGA",Power
"Cassava Fuel Ethanol at Kanya, Danko Wasagu LGA",Manufacturing
Gold Ore Exploration and Mining (29257 EL) at Toto LGA,Mining
Lithium Mining (30477EL) at Chikun and Shiro LGAs,Mining 
Gold Mining (33034 EL) at Ngaski LGA,Mining
"Tourmaline and Amethyst Exploration (28600 EL) at Apasan-Gande Village, Oluyole LGA",Mining
"Granite Quarry (QLS 37142) at Bmuko Village, Bwari Area Council, Abuja",Mining
Matters Affecting Store,Others
Production of 200KT/A Methanol Production Plant at Udu LGA,Manufacturing
Gold Ore Exploration and Mining (34439 EL) at Bwari LGA,Mining
Sand Stone and Laterite Mining (SSML 25531) at Aniocha North / Oshimili North LGAs ,Mining
"Rivers State Industrial Park along East-West Road Eleme, Eleme LGA",Infrastructure
Gold Ore Exploration and Mining (34440 EL) at Atakumosa LGA,Mining
Tin Ore Exploration and Mining (SSML 25104) at Barkin-Ladi LGA,Mining
"Aquamarine, Tourmaline Gemstone Exploration and Mining (34438 EL) at Okehi LGA",Mining
Granite Quarry (QL 24913) at Ajaokuta LGA,Mining
Feldspar Quarry (QL 24968) at Irepodun LGA,Mining
Honourable Minister's Courtesy Visit,Others
"Jetty at Akai Ebugbu, Mbo LGA",Infrastructure
Departmental Library,Others
"Establishment of Wood Processing Factory and Afforestation at Gmelina Camp, Onipetesi, Odigbo LGA",Manufacturing
"Construction of Bonded Terminal / Jetty at Irede Community, Amuwo/Odofin LGA",Infrastructure
"Construction of 60KW Solar Mini-Grid at Nung Uyo Idoro Community, Uyo LGA",Power
Gold Ore Exploration and Mining (29821 EL) at Shanono LGA,Mining
"Gold Mining (SSML 25586) at Kuje Area Council, Abuja",Mining
"Solar Mini-Grid (34 sites) in Karu, Lafia, Awe, Obi, Kokowa, Nasarawa Toto, Keana and Doma LGAs",Power
Sand Dredging and Mining (26228 SSML) at Kachia LGA,Mining
"Tin, Columbite, Mica Exploration (29711 EL) at Riyom LGA",Mining
"Tin, Columbite, Mica Exploration (29712 EL) at Riyom LGA",Mining
"Tin, Columbite, Mica Exploration (29713 EL) at Riyom LGA",Mining
"Tin, Columbite, Mica Exploration (29714 EL) at Riyom LGA",Mining
"Industrial Park at Ido Village, Kobape Obafemi Owode LGA",Infrastructure
Construction and Expansion of New Distribution Injection Substations and Distribution Lines (Greenfield Projects) - Phase 1 of the Presidential Power Initiative (PPI),Power
